SKU;COGS
0fe3179c-3b31-4e37-a1db-9f1cfb161dad;1228,598
dd38ecc4-cd14-4c3f-a147-7bdedcf9a8ef;1218
194ebd53-27ec-4db3-87b9-8060793cf725;1211
7af92a18-1f64-446a-8c28-b8d64dbf6c9e;1198,4
4305703e-2fe4-4835-8648-8b4167f16849;1185,66
ab070ce5-f3cf-45a1-9089-7ffecb09f678;1185,66
783e55f0-5d01-46d2-ad57-01ef8fd6c90d;1185,66
4956da1b-cb7c-4a2b-9c76-775a9cfde92d;1180,466
9b3389f5-a9d9-4054-910d-f70f676da075;1139,754469
2253ce17-e9b1-4520-9de2-da0080ab5883;1095,64
c0f46953-cc3b-40df-b601-fc7ae0ed7099;1085,948491
338d1afa-2aa4-4fef-8bf9-59b7bf250d78;1085
5c834115-4a8f-47b2-8768-f547728e260a;1078,378
f4fdd3a7-0695-42bc-af6c-f6f81cd95fc9;1061,2
3e7a23b1-2d71-436f-9c22-e6d50f9f7eff;1058,4
8068844d-6341-4494-9745-b20a4b3f0fef;1056,466792
b57dc1a9-912f-420f-8e87-5a29bc26bcd2;1050
5481a0df-2d07-4447-9909-85018d95299a;1023,12
071785ce-76e6-4b2a-907c-b59dc2d182a5;1016,624
6f2f3576-45a4-4e84-9163-140063d969b0;1012,186897
6fe0a227-2e78-4b95-b3b4-b8f1330f7f0d;1011,36
e8c4a269-996d-49f9-b135-76bc66fbf6f0;994,9333333
c012adcf-b8bf-434d-8179-ddeeca23f16d;991,9
944a5c07-58bf-4e68-a759-33734fe4d7bd;982,8
86203f7f-dfed-4bea-b1dc-68794800fbf8;980,056
bb81be2f-b6f4-4799-a934-5cc60ef2cfff;980
d77d4e19-adc3-4eb4-934b-c5bb5b66e21f;974,4
e30a7217-a5e6-4980-80c5-8d0d89ddd959;972,3
6e503f51-9f5c-40f4-9350-306764b2e421;969,22
e269dbdf-ff32-49e2-9e45-76ee2990be8d;964,579
4d8bc75b-a61d-4929-b90d-4c787ac572e8;951,16
67745da9-b03c-4778-ba8a-11e13ff2bd43;947,478
ca725e4a-cad1-4d0f-b9e7-3b9a45782207;945,2146667
b67bc26a-3876-4c58-8f1b-b6e068efde10;932,687
72344594-e394-42e2-87cf-3a49461111ae;915,04
8e475105-3db4-41b3-a67a-8658095ce64d;913,5
94aa644a-e6e4-48dc-a45d-5a44610552f1;912,0198325
7dc814dc-b8d9-4955-900b-db778de3ca05;911,092
da6e4664-ae5f-46a4-a93a-07eef381a820;910
b06b151f-59c4-462d-9caa-c35cabcb09ee;910
ef48b71d-00d3-4baa-a8ca-359f89b5e3e8;910
07285b56-fee9-44ef-b7c7-3cc7abfe74b1;899,3471914
4be596c9-a51d-496d-9f3e-910a69ddba10;897,68
efa13d26-64c8-4a30-ba28-ab85452d3d99;897,68
a1d5e20e-b946-47fb-99a9-31ad2ab432fb;897,68
23b6ad59-09d7-4635-95a2-4a853f9493a4;895,818
094a0270-2eef-47c5-a849-739f5b9827ed;892,2880356
16bf7475-1085-483f-9d38-d361bf83cb27;890,273
7b4844b3-d6c8-4c08-96ce-9e8fad4e95f7;888,44
15413784-a6af-460a-9f9a-abb64d514a60;885,15
5dc21c40-7053-49ce-a2e7-43e42bf6f222;883,26
c25765db-636b-4628-b8e9-6db1101b21a2;883,1666667
b11868d5-b0b4-4e66-9385-549ebc0627d6;872,9
3713a3eb-7719-448f-bd7c-b6088849302c;870,8
805ba93b-44d0-40f6-b096-6710101394e2;867,44
dabf18f3-2f7f-4069-9e9d-733cb124ce17;866,6
6b9c650b-b819-4613-9cb3-deccf2f59f2b;862,8063325
2303ca3a-ddbf-405a-9bfb-3df0347ae0c2;858,312
adc3e609-2d48-4786-a787-b87745fa34b1;854,91
60645d07-cad2-4a1b-910e-4323f8443c7b;854,91
7f848451-a945-4e31-bff0-44ac86fb8481;853,622
038a1517-1ba3-412f-8aa8-549d3206ce33;852,6
bb6f7ea7-b3a3-4028-92a6-0f373129e192;852,6
0dcf6cfb-c565-4572-a135-d582e0d90dd0;852,6
35cf9dab-40a4-4246-8e0b-82fdc125a2b2;852,6
69ba5626-9c9b-4d01-a606-05c2346014f4;850,5
d7961ecc-1e76-4a1b-ab4b-36795e11604a;842,8
7ed8b2d7-0ab4-438a-8080-7c0d8a952694;840
588bb524-7a5c-4f5e-9d4f-0f88db4ae6f5;840
23431436-da0f-4f0d-a8bf-ed428a746efc;840
22bb4eea-d902-4e1a-8a20-a0eebe838a78;826
9bee08cd-e3b0-41b6-bac7-cd191e47ae80;825,1733333
0b0d4e37-89a5-4365-a3da-a903eea14030;822,15
0c1819eb-69b8-489c-91d1-a5e42d0635ca;822,15
6b68bac7-7fe0-4402-8b13-00703ce4a82c;819,1044229
d593a635-6b2d-41ed-96df-b91bcc3420a2;818,6266667
11873e5b-8c83-42f8-b60a-a89921d2c543;815,9660833
5e56ce77-7755-4551-a148-6a30e78b7ef8;812
896c0095-71e1-4280-b25d-336f70efba97;811,8749553
0b646ec1-2d79-41c4-b25f-8fd1eed90493;810,99725
a4005c37-4d58-4338-9264-3eec1f76241a;802,2
87806b71-f02b-4bb5-8dea-9ce9a34ef89e;800,8
bd921a99-3f2a-4c50-a696-a4b076a776fb;795,662
9320ae8d-efe0-45fc-abfd-eec6cc589c41;795,1544342
25277ae0-411a-4df0-886c-f9d972acf4cf;790,3
7579ab1a-700a-4de6-90d6-c87aef7d2a94;789,6
12813484-8398-4364-959f-f7f168c1062d;787,22
d5e5f16a-3574-4694-a140-be6b443b4476;786,715
528f6fb0-5841-4de8-8824-f13693ab9bac;785,5645
e966528c-5c41-4b0a-8217-ffa8e5e98327;782,8426667
8d895864-c9ff-4005-a89c-76e835a18dee;776,482
17b7dc23-5ea1-4ee5-b673-ec54dca454e4;775,39
483a5685-b329-422f-9213-3955e8abe5b7;773,0030258
273b3b94-5e05-4df4-a711-0ce3c3539006;773,0030258
e3c0ba4a-af76-44f1-a2d4-0b7f48b65bc2;765,97
a8658ee7-0186-4da7-ac9d-02432a121355;764,4
6207a2ed-567e-4cb2-b438-fcaef8f48c92;763,35
b84292a1-0c53-4e98-adaa-0e40aaf98214;762,685
417e91d6-0177-4540-aea6-ed50a112ae8d;761,7213333
ace4a1a8-8ff9-4829-844d-f218fcea166d;756
0523b3b7-60f3-4c66-9b19-36ba31de32bd;756
d2ddc77d-a3d4-4069-93ba-b052c11328b5;752,64
cf795740-2a40-42c0-a1cc-6c94e4ae2329;752,64
56b3132d-868c-4104-8b27-d75a9347a23d;750,5166667
f089387b-af8e-46bf-878d-2fcf79bb378b;749,07
4b9f3978-a106-4afd-a51b-391ce4dff60f;746,2
51f32bbd-c40d-46f6-96e5-b80da287fcef;746,2
fc3a9f8b-36ca-48b6-896c-b36802e15555;740,691
c46717ef-60ab-48ef-8195-b3df89c2250c;740,25
7fc6eacd-eb12-4254-8d42-a3f5d4d64b88;735,7
a0685806-fd7d-42bd-bf29-657d6e257f42;733,6
44319d40-780a-4b38-96c0-2beec710e16f;733,6
0eac823f-0c0b-4995-9f79-fa246f66bf04;733,6
ec05593b-c165-42da-8dba-db7872aeacb8;729,624
832b6b87-05b5-4227-927b-98bb6d996ed1;729,582
e4761aaf-0c8f-49d5-b0ae-fbf3355245ae;727,9561787
44f1b7a5-dfda-4194-a72a-240091b12dc7;727,0858967
13e3b510-6c8d-4e92-8adf-4737bd99fc7b;720,44
107b3d61-e006-4644-8431-5a68d8bba23f;719,4622273
4f437174-8353-4c20-a2f8-f5b653b96c8c;719,3080145
