SKU;Date;Stock
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-07;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-08;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2023-12;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-01;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-02;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-04;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-05;754230,4
5f0f394f-0cb2-499b-9171-146ad2cabf93;2024-06;754230,4
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-03;739166,4
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-08;730595,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-09;730580,2
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-10;730580,2
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-11;712181,4
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-01;701268,4
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-03;700306,6
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-05;699367,2
eec80c86-2c89-4419-91d3-508572925f65;2023-11;672886,2
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-12;670654,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2024-01;670654,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2024-02;670654,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2024-03;670654,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2024-04;670654,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2024-05;670654,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2024-06;670654,6
b3a0f642-5582-4305-996c-f68b59d90ea4;2023-11;667518,6
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2023-01;667406,6
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2024-05;658823,2
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-07;658614,6
962fc7d5-63b0-4d56-a853-9ffc078e2da2;2023-05;657347,6
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-11;656436,2
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-06;653972,2
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2024-06;649614
962fc7d5-63b0-4d56-a853-9ffc078e2da2;2024-03;649264
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-07;648170,6
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2024-04;639753,8
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2024-05;636372,8
75543932-a118-4c0b-aa78-765028da925d;2023-03;635303,2
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2024-04;632269,4
75543932-a118-4c0b-aa78-765028da925d;2023-04;629325,2
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2023-12;619295,6
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-04;611055,2
6495774b-2e66-467d-b6c7-d99a4a622712;2024-02;603052,8
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-10;597942,8
75543932-a118-4c0b-aa78-765028da925d;2023-01;597587,2
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-12;588289,8
75543932-a118-4c0b-aa78-765028da925d;2023-05;582635,2
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2024-05;580755
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-01;572338,2
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-09;571334,4
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2023-02;570859,8
eec80c86-2c89-4419-91d3-508572925f65;2024-01;565777,8
6495774b-2e66-467d-b6c7-d99a4a622712;2024-03;554241,8
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-02;552174
eec80c86-2c89-4419-91d3-508572925f65;2023-10;551084,8
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2024-01;548791,6
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-02;544798,8
46e11f59-d7e1-4d72-94d9-8c323f1decfb;2023-06;539897,4
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2024-03;538993
46e11f59-d7e1-4d72-94d9-8c323f1decfb;2024-03;534713,2
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-01;533327,2
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-01;531571,6
75543932-a118-4c0b-aa78-765028da925d;2023-02;530219,2
75543932-a118-4c0b-aa78-765028da925d;2023-06;528203,2
75543932-a118-4c0b-aa78-765028da925d;2023-07;528203,2
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2023-09;527888,2
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2024-02;526407
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2023-08;525900,2
27e51282-5fae-422f-8829-8be27efcda88;2024-06;511760,2
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-04;510428,8
6495774b-2e66-467d-b6c7-d99a4a622712;2023-12;510246,8
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-08;504583,8
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2023-08;503321
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2024-06;493788,4
304459aa-a111-4ed3-9a08-7f6e62c40f65;2024-04;493416
304459aa-a111-4ed3-9a08-7f6e62c40f65;2024-05;493416
304459aa-a111-4ed3-9a08-7f6e62c40f65;2024-06;493416
6495774b-2e66-467d-b6c7-d99a4a622712;2023-01;492224,6
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2024-06;491587,6
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-06;486549
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2024-02;486508,4
eec80c86-2c89-4419-91d3-508572925f65;2024-02;485766,4
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-07;485076,2
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-03;483709,8
637ddf6a-8757-40eb-a709-822ab5c40b43;2023-09;479483,2
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-02;479116,4
b4526702-7b5d-4ed5-b521-3e8589b65864;2023-02;478686,6
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-07;470559,6
b4526702-7b5d-4ed5-b521-3e8589b65864;2023-03;468886,6
b4526702-7b5d-4ed5-b521-3e8589b65864;2023-04;468886,6
b4526702-7b5d-4ed5-b521-3e8589b65864;2023-05;468886,6
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2024-03;468459,6
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-11;468265
75543932-a118-4c0b-aa78-765028da925d;2023-08;466603,2
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2024-04;460306
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2023-10;459769,8
d03619a5-922c-4600-aac4-ffe4ea1a2a82;2024-05;457146,2
b4526702-7b5d-4ed5-b521-3e8589b65864;2023-06;447276,2
6495774b-2e66-467d-b6c7-d99a4a622712;2023-10;438618,6
4a459295-a991-4cb9-b93f-1f208339e9a5;2024-06;438456,2
6495774b-2e66-467d-b6c7-d99a4a622712;2024-01;434564,2
962fc7d5-63b0-4d56-a853-9ffc078e2da2;2023-02;433035,4
962fc7d5-63b0-4d56-a853-9ffc078e2da2;2023-11;432208
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2023-03;431265,8
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2023-10;426945,4
637ddf6a-8757-40eb-a709-822ab5c40b43;2023-10;426760,6
f76a00b4-cd74-4a08-bb28-fcb6202ef95c;2024-01;425887
00b82d84-8100-4031-ba60-5291c8618488;2023-01;422797,2
14871f8b-1260-4c3f-9925-e98fc74ddac0;2023-03;420813,4
14871f8b-1260-4c3f-9925-e98fc74ddac0;2023-04;420813,4
14871f8b-1260-4c3f-9925-e98fc74ddac0;2023-05;420813,4
3d2cf853-b35f-4b4b-af8c-d746eba7c377;2023-01;417578
6495774b-2e66-467d-b6c7-d99a4a622712;2024-04;415521,4
14871f8b-1260-4c3f-9925-e98fc74ddac0;2023-06;410411,4
06d1a3a8-bbfe-42b7-a24e-966756c6920a;2023-07;409812,2
3d2cf853-b35f-4b4b-af8c-d746eba7c377;2023-02;409178
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-05;408829,4
dc4532ce-c61e-4f63-ba43-801bb42c5747;2023-08;407542,8
51e336b7-ae48-4148-8cef-a3952a6a9dd5;2023-11;407230,6
ab93a56d-8daa-4baa-acac-35238f3e7ec4;2023-12;405739,6
ab93a56d-8daa-4baa-acac-35238f3e7ec4;2024-03;402756,2
27e51282-5fae-422f-8829-8be27efcda88;2023-12;400471,4
14871f8b-1260-4c3f-9925-e98fc74ddac0;2023-07;400205,4
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-06;399333,2
00b82d84-8100-4031-ba60-5291c8618488;2023-02;396351,2
6495774b-2e66-467d-b6c7-d99a4a622712;2023-02;396216,8
eec80c86-2c89-4419-91d3-508572925f65;2024-03;392522,2
ce588b38-1b0b-4ce3-bf87-30ce771ba9ed;2024-02;392450,8
ab93a56d-8daa-4baa-acac-35238f3e7ec4;2024-04;389893
14871f8b-1260-4c3f-9925-e98fc74ddac0;2023-08;387535,4
c605729c-c4a5-4a37-bd35-4a577e7ccfbe;2023-08;385554,4
ab93a56d-8daa-4baa-acac-35238f3e7ec4;2024-05;381269
dbacffb4-c6cc-448f-87ae-7116ef8962d9;2024-02;381082,8
dc4532ce-c61e-4f63-ba43-801bb42c5747;2024-03;378544,6
